CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
BT-20,ADAM17,MTOR_1,1,75,0.605687563,1.2654588,0,75,0.8477869,68.22682053,18.30981,1,ADAM17.MTOR_1
NCI-H1299,ALK,EGFR_2,1,3,1,0,100,1.539299285,1.6910796,0,18.30909,1,ALK.EGFR_2
RT4,Chloroquine,FGFR,3,3,0.342758502,0.8901454,29.93171153,1,0,100,18.20052,1,Chloroquine.FGFR
MDA-MB-436,ALK_IGFR,MTOR_1,1,1,0.135386709,1.2881012,23.77975696,0.319981093,10,63.09955966,18.19243,1,ALK_IGFR.MTOR_1
T47D,MTOR_1,PIK3C,3,1,0.184467046,1.1665015,11.88924575,0.095221337,1.6099409,18.9458939,18.13581,1,MTOR_1.PIK3C
HCC1143,FASN,MAP2K_1,1,1,0.306963267,1.6974674,64.83208217,1,0,100,18.10269,-1,FASN.MAP2K_1
NCI-H226,ATR_4,IAP,3,3,3.00E-04,0.1129105,0,0.99983946,1.4319266,29.41746145,18.02491,1,ATR_4.IAP
EVSA-T,ESR1_3,MTOR_1,1,3,0.142018729,1.3851926,2.25843868,3,0.6040967,45.5692872,17.99035,1,ESR1_3.MTOR_1
NCI-H520,IAP,Topotecan,0.03,3,0.011453326,2.730016,43.3934255,1,0,100,17.98231,1,IAP.Topotecan
DU-4475,AKT,ERBB,1,1,1,0,100,0.362529075,2.5000356,69.36260921,17.96867,-1,AKT.ERBB
NCI-H2228,CSNK2A1_2,TNFSF10,0.03,0.1,0.008426089,2.2696739,33.22189618,0.027232347,0.6873393,0,17.88657,1,CSNK2A1_2.TNFSF10
HCC38,AKT_1,PIK3C_2,1,1,0.836444693,2.5605579,0,1.00E-04,4.1298232,92.04,17.88325,1,AKT_1.PIK3C_2
MDA-MB-157,AKT_1,PIK3CB_PIK3CD,1,1,1,0.4215662,10.84153089,0.028485139,0.7229025,78.66067797,17.86787,1,AKT_1.PIK3CB_PIK3CD
CAMA-1,EGFR,MAP2K_1,1,0.1,1,0,100,1,0,100,17.71496,1,EGFR.MAP2K_1
BT-20,AKT_SGK,PIK3C,1,1,0.791208448,0.735046,0,1,0.7916566,24.58346624,17.68523,1,AKT_SGK.PIK3C
BT-549,FASN,MTOR_1,1,1,0.311977825,1.6225412,26.50023926,1,0,100,17.66288,1,FASN.MTOR_1
NCI-SNU-16,FGFR,PIK3C_MTOR,1,0.01,0.39154537,10,80.19831988,0.007774545,2.6889967,0,17.64808,1,FGFR.PIK3C_MTOR
MFM-223,AKT_1,PIK3C_2,1,1,0.584175543,2.075969,0,0.145077517,1.6411616,25.23073145,17.62158,1,AKT_1.PIK3C_2
HCC1187,AKT,CSNK2A1_2,0.1,3,0.006605198,1.7567431,13.1812083,0.627398484,3.651049,15.86568792,17.54654,1,AKT.CSNK2A1_2
MDA-MB-157,ADAM17,FGFR,1,75,0.027859574,1.8030787,33.76023053,4.23547316,0.6425969,92.78937105,17.46127,1,ADAM17.FGFR
MFM-223,AKT_SGK,MAP2K_1,1,1,1,0.1832806,92.4981006,0.159500326,1.3608268,9.82647958,17.40815,1,AKT_SGK.MAP2K_1
Hs-578-T,MAP2K_1,PIP5K1,1,1,1,0,100,0.28826308,10,86.29966725,17.39293,-1,MAP2K_1.PIP5K1
HCC1395,BCL2_BCL2L1,SLC16A4,1,1,0.292236473,10,93.09989427,1,2.11808,88.20313781,17.3869,1,BCL2_BCL2L1.SLC16A4
HCC1143,ADAM17,PIK3C,1,75,0.325857111,10,67.79952442,1,0,100,17.38199,-1,ADAM17.PIK3C
NCI-H2228,BCL2L1,Vinorelbine,0.1,3,0.056111953,1.214668,0,0.310913382,0.6874681,36.73122038,17.36241,1,BCL2L1.Vinorelbine
NCI-H1563,CSNK2A1_2,Gemcitabine,0.03,0.03,0.002349512,6.6050544,14.39504247,0.014930576,2.0887409,0,17.32884,1,CSNK2A1_2.Gemcitabine
T-24,MTOR_1,PIK3C,3,3,3,10,29.00061016,1.015959264,10,17.69833765,17.31921,-1,MTOR_1.PIK3C
MDA-MB-453,AKT,ERBB,3,3,3,0.9236518,13.63669177,1.63100158,0.6606627,0,17.31706,1,AKT.ERBB
TCCSUP,MAP2K_1,PIK3C,1,3,0.266448613,1.4754412,51.21932519,0.09396389,0.6189614,59.46109581,17.31489,1,MAP2K_1.PIK3C
MDA-MB-453,AKT,AKT_1,1,1,0.082560013,1.2547904,7.78983772,0.208187586,1.3756132,20.85674966,17.30208,1,AKT.AKT_1
MDA-MB-453,BCL2L1,IAP,3,3,3,0.1402366,27.35181427,3,0.3477028,68.07874912,17.28719,1,BCL2L1.IAP
CAL-120,MAP2K_1,PIK3C,1,1,0.34475734,10,70.39929213,0.40666117,2.2771552,82.30437628,17.25819,1,MAP2K_1.PIK3C
BT-20,BCL2_BCL2L1,PIK3CA_4,1,1,0.344559465,1.2972852,55.86337031,1,1.4510167,55.20048489,17.25327,1,BCL2_BCL2L1.PIK3CA_4
CAL-120,MTOR_1,PIK3CA_4,1,1,0.088009856,10,77.74968413,0.197582406,0.8032597,14.1200049,17.25202,1,MTOR_1.PIK3CA_4
DMS-114,BCL2L1,CarboTaxol,0.01,3,0.001614075,2.4186499,8.6741231,1,0,100,17.17963,1,BCL2L1.CarboTaxol
CAL-51,AKT_SGK,PIK3C,1,1,1,0.9204121,14.64740159,0.178206159,2.0544834,28.69294767,17.15858,1,AKT_SGK.PIK3C
BFTC-905,HSP90,PARP1,3,3,3,1.1262552,41.07058628,0.110748083,1.9178169,0,17.14019,1,HSP90.PARP1
NCI-H358,CSNK2A1_2,SYK,3,0.1,0.404632321,1.3898763,68.2043957,0.010568587,8.8803896,18.34590277,17.08969,1,CSNK2A1_2.SYK
NCI-H3122,IAP,Topotecan,0.1,0.3,0.018324932,1.4286694,0,0.003105054,2.236988,75.9149276,17.00553,1,IAP.Topotecan
T47D,MAP2K_3,PIK3C,3,0.3,0.227969216,0.7280812,13.67626394,0.002697039,0.4974557,77.54598769,16.93655,1,MAP2K_3.PIK3C
Calu-3,Doxorubicin,TOP2,3,0.01,3,0.1020898,85.80801551,0.01,1.3159887,7.0981146,16.88129,1,Doxorubicin.TOP2
J82,ERBB,IAP,3,3,0.005145618,0.6543879,21.539376,3.00E-04,0.1,84.81167039,16.83164,1,ERBB.IAP
MDA-MB-436,PIK3C,PIM1,1,1,1,0.5661633,82.72573689,0.275838507,2.0665695,51.42680753,16.72996,1,PIK3C.PIM1
SW837,BCL2,MAP2K_1,3,3,0.451905622,0.8098828,36.48035453,1,0,100,16.71756,1,BCL2.MAP2K_1
MFM-223,PARP1,PIK3C,1,3,1,0.3988898,1.18078757,3,0.1840159,33.20204725,16.6942,1,PARP1.PIK3C
MDA-MB-453,AKT_1,EGFR_2,3,3,3,0.5026929,47.18000323,0.595632323,0.9565002,23.13927708,16.69216,1,AKT_1.EGFR_2
NCI-H2170,IAP,PIK3C,3,3,0.290049723,1.0480843,36.26417178,3,0.2098245,61.25947653,16.68108,1,IAP.PIK3C
MDA-MB-436,AKT_1,BCL2_2,3,3,3,0.8493679,49.36976889,3,0.4867239,45.45385685,16.67653,1,AKT_1.BCL2_2
SW837,IAP,IGFR_3,10,1,4.635536298,0.5929405,57.52413476,0.061321616,1.3932695,83.74329739,16.60508,1,IAP.IGFR_3
NCI-H358,Doxorubicin,IAP,3,0.1,3.00E-04,0.1,75.11800569,0.020619066,2.0579931,20.69081727,16.59258,1,Doxorubicin.IAP
HCC1937,ERBB,PIK3CA_4,1,1,1,0.3112818,72.65586031,0.006875254,1.224304,77.90838181,16.48142,1,ERBB.PIK3CA_4
Hs-578-T,FGFR,SLC16A4,1,1,1,0.4459156,60.70195406,0.056358849,0.8375645,73.33088629,16.46946,1,FGFR.SLC16A4
TCCSUP,ATM,Gemcitibine,0.1,3,0.002890789,2.3723411,7.29039202,0.881918361,10,83.29987575,16.46099,1,ATM.Gemcitibine
MDA-MB-231,AKT_SGK,PIK3C,1,1,0.214675064,1.1063543,70.52960912,1,0.5757226,55.12899224,16.45965,1,AKT_SGK.PIK3C
HCC1937,AKT,PIK3C_2,1,1,0.326713718,10,74.89965097,0.233448201,1.8318019,67.67169429,16.42842,1,AKT.PIK3C_2
HCC1143,ADAM17,MAP2K_1,1,75,0.043476892,1.4064031,67.02537454,0.737686901,10,89.09999872,16.41538,1,ADAM17.MAP2K_1
NCI-H1299,BCL2_2,Vinorelbine,0.3,3,0.054199024,2.1015099,21.58976083,1,0,100,16.40498,1,BCL2_2.Vinorelbine
HCC1187,PIK3C_2,PIK3CA_4,1,1,0.112387954,1.1680037,50.4409029,0.472133525,1.6936654,0,16.37772,1,PIK3C_2.PIK3CA_4
HCC1937,PIK3CB_PIK3CD,TNKS_PARP6,1,1,0.096356007,10,68.39972685,0.169524652,10,75.23725312,16.36796,-1,PIK3CB_PIK3CD.TNKS_PARP6
MDA-MB-453,BCL2_BCL2L1,FGFR,1,1,0.239883725,10,30.28644707,1,0,100,16.31893,1,BCL2_BCL2L1.FGFR
HCC1187,AKT,TNKS_PARP6,1,1,0.018992059,1.7069941,3.42878522,0.320615541,10,58.19950857,16.31044,1,AKT.TNKS_PARP6
M14,MAP2K_1,PIM1,1,1,1,10,64.00018234,0.213428806,2.4746429,31.8065079,16.23689,-1,MAP2K_1.PIM1
BFTC-905,AKT,Cisplatin,3,3,0.318569411,0.9796669,0,0.268384301,10,42.74948585,16.12461,1,AKT.Cisplatin
MDA-MB-453,ESR1,MTOR_1,1,1,0.226984719,3.6988831,12.53064877,0.291494846,10,92.99993593,16.11686,1,ESR1.MTOR_1
MDA-MB-453,ADAM17,AKT,1,75,0.282663543,2.2634551,34.21972294,1,0,100,16.0498,1,ADAM17.AKT
NCI-H2170,IAP,Topotecan,0.1,3,0.054422428,0.8844487,0,0.049052912,0.1,63.81510044,16.02889,1,IAP.Topotecan
M14,AKT_SGK,BCL2_BCL2L1,1,1,0.047220727,0.6912217,7.60840416,1,0.7563146,40.36497292,15.99293,1,AKT_SGK.BCL2_BCL2L1
NCI-H838,IAP,TOP2_2,1,1,0.304687891,1.837165,0,0.00562715,0.5990922,15.41914141,15.98954,1,IAP.TOP2_2
Hs-578-T,MAP2K_1,SLC16A4,1,1,1.00E-04,0.1,76.64668113,1,0.6854509,12.15298887,15.96133,1,MAP2K_1.SLC16A4
HCC70,MTOR_1,TNKS_PARP6,1,1,0.056411026,1.5366925,26.66074355,0.260088717,1.2885972,24.11814957,15.86715,1,MTOR_1.TNKS_PARP6
NCI-H358,IAP,TOP2_2,1,3,0.18267464,1.3962873,27.9113897,3.00E-04,0.1,67.70164701,15.84934,1,IAP.TOP2_2
HCC1937,MTOR_1,PIK3C,1,1,1,0.8687477,28.51532409,1,1.2446328,41.10215125,15.83587,1,MTOR_1.PIK3C
CAMA-1,BRAF_M2,MAP2K_1,3,3,3,0.3932891,71.15963267,3,0.3675118,58.96374424,15.82581,1,BRAF_M2.MAP2K_1
Hs-578-T,FASN,MAP2K_1,1,1,1,0.611711,40.21750816,0.078265865,10,89.14651157,15.77519,1,FASN.MAP2K_1
NCI-SNU-16,ERBB,FGFR,0.01,3,0.007388022,2.7973828,0,1.020987454,10,91.29980858,15.77256,1,ERBB.FGFR
HCC1143,PIK3CB_PIK3CD,TNKS_PARP6,1,1,0.026024755,2.096399,26.40070933,1,0.8497757,40.19349859,15.75368,1,PIK3CB_PIK3CD.TNKS_PARP6
NCI-H1975,ALK,CSNK2A1_2,0.03,3,0.02107602,2.481064,0,0.517870956,1.234519,0,15.75259,1,ALK.CSNK2A1_2
MDA-MB-453,AKT,ATR_4,1,1,0.224871109,2.7284289,6.03945388,0.202547219,1.5704807,27.02228705,15.71279,1,AKT.ATR_4
KMS-11,FGFR,MTOR_3,0.3,0.03,0.000282117,0.1705384,8.93673927,0.03,10,0.80023711,15.7095,-1,FGFR.MTOR_3
MDA-MB-415,AKT,CSNK2A1_2,0.1,3,0.01055313,1.4746818,15.6181404,0.002083389,0.7465616,14.36860307,15.69866,1,AKT.CSNK2A1_2
NCI-H1703,BCL2L1,CarboTaxol,0.01,3,0.002390729,3.2493995,7.5097785,0.018417272,0.3281692,89.34856119,15.65201,1,BCL2L1.CarboTaxol
HT-1197,IAP,TNF,0.1,3,0.001140486,0.8913323,50.6797129,3,1.5807526,1.6728622,15.64838,1,IAP.TNF
HCC1419,AKT,Chloroquine,10,3,3.477134051,10,78.49944197,0.570796649,0.4510666,0,15.59449,1,AKT.Chloroquine
HCC1143,MTOR_1,PIK3CA_4,1,1,1,1.3354858,47.7753554,0.322885663,0.9669236,25.24834852,15.59288,1,MTOR_1.PIK3CA_4
NCI-H226,CSNK2A1_2,Gemcitabine,0.1,0.1,0.013779949,1.9695079,8.09398786,0.005061482,2.2476815,0,15.58256,-2,CSNK2A1_2.Gemcitabine
DMS-114,AKT,FGFR,3,3,0.150545093,2.0195352,15.77509306,3,0.5950601,2.91525863,15.5706,1,AKT.FGFR
Calu-6,ALK,CSNK2A1_2,0.03,3,0.008788121,1.8198712,6.37976753,1.226084171,10,38.39199094,15.53071,1,ALK.CSNK2A1_2
NCI-H520,AKT,CSNK2A1_2,0.03,3,0.007807537,0.9154605,0,0.54896783,0.9130528,34.54187734,15.52841,1,AKT.CSNK2A1_2
NCI-H2291,BCL2,CSNK2A1_2,0.01,3,0.002133398,2.2044826,28.43944625,0.948044353,10,24.79914481,15.50704,1,BCL2.CSNK2A1_2
CAMA-1,ATR_4,CarboTaxol,0.1,3,0.016577816,1.124557,15.48565007,3,10,61.40007472,15.46098,1,ATR_4.CarboTaxol
J82,HDAC_4,PARP1,3,3,0.326804695,10,94.29994545,1.054130321,10,27.79791748,15.32469,1,HDAC_4.PARP1
VM-CUB-1,ATM,Gemcitibine,0.1,3,0.005847137,3.3997629,8.54778458,1,0,100,15.26292,1,ATM.Gemcitibine
MDA-MB-157,ATR_4,MAP2K_1,1,1,1,0.1661697,32.73992265,0.312225916,10,30.999391,15.21608,1,ATR_4.MAP2K_1
HCC38,AKT_1,BCL2_BCL2L1,1,1,0.181865338,3.618522,7.67397289,1,0.2670731,80.42025382,15.21561,1,AKT_1.BCL2_BCL2L1
HCC1937,PIK3CB_PIK3CD,SLC16A4,1,1,1,0,100,1,0.5552962,46.60943984,15.20795,1,PIK3CB_PIK3CD.SLC16A4
HCC38,BCL2_BCL2L1,FASN,1,1,1,0,100,0.174261185,2.3034377,10.78865691,15.19502,1,BCL2_BCL2L1.FASN
CAMA-1,AKT_1,BCL2_BCL2L1,1,1,0.328914526,1.5724274,86.86299857,0.334437707,3.0031935,26.97689791,15.16021,1,AKT_1.BCL2_BCL2L1
T47D,BRAF_M2,MAP2K_1,3,3,0.831809822,0.7208278,69.9298411,0.977072961,2.6412161,80.55054839,15.15309,1,BRAF_M2.MAP2K_1
CAL-148,MTOR_1,PIK3CA_4,1,1,0.307693397,10,59.49968482,1,0.5407277,49.03817684,15.12149,1,MTOR_1.PIK3CA_4
MCF7,HSP90,MAP2K_1,1,1,1,0.7210737,54.5061659,0.038514465,2.9548932,8.51991608,15.11293,1,HSP90.MAP2K_1
HCC1395,MAP2K_1,PIP5K1,1,1,0.287272851,10,91.09988529,0.064525807,1.1159023,77.42086724,15.03023,-3,MAP2K_1.PIP5K1
TCCSUP,PIK3C,TNFSF10,0.03,1,0.010028021,10,49.89912359,0.484342078,1.8105792,44.9465614,14.9569,1,PIK3C.TNFSF10
VM-CUB-1,IAP,PIK3C,3,0.03,2.444144809,1.2451249,0,0.001871821,0.7602373,65.2025987,14.95352,1,IAP.PIK3C
HCC1937,AKT_1,BCL2_BCL2L1,1,1,1,0.8228939,46.56767929,0.094627763,0.7436962,72.317591,14.94563,1,AKT_1.BCL2_BCL2L1
UACC-812,HDAC_4,PARP1,1,1,0.258427752,10,89.09911559,1,1.4607169,33.20875638,14.92222,1,HDAC_4.PARP1
CAL-51,BCL2_BCL2L1,PIK3CA_4,1,1,0.347185203,10,70.79925688,0.38250735,2.8835485,93.9442657,14.90884,1,BCL2_BCL2L1.PIK3CA_4
NCI-H2085,ALK_2,TOP2,3,3,0.202356674,2.6760203,19.81521485,2.360150777,1.04188,0,14.85956,1,ALK_2.TOP2
NCI-H520,ALK_2,MTOR_1,3,3,0.135455112,1.2412184,17.38050997,1.193448597,10,75.29754704,14.85942,1,ALK_2.MTOR_1
BT-20,BCL2_BCL2L1,MAP2K_1,1,1,0.115954315,0.7561764,47.76404012,0.38505742,10,80.29858774,14.85647,1,BCL2_BCL2L1.MAP2K_1
HCC1395,PARP1,PIK3CB_PIK3CD,1,3,1,0.2873968,21.53757196,0.146862146,0.3881111,0,14.83117,1,PARP1.PIK3CB_PIK3CD
COLO-205,IAP,PARP1,10,1,2.623462304,1.14432,0,1,0.7920568,37.27296011,14.81612,1,IAP.PARP1
MCF7,IAP,TNF,0.1,3,0.000811159,3.3012674,13.38474894,2.752368372,10,0,14.78239,-1,IAP.TNF
HCC38,BCL2_BCL2L1,SLC16A4,1,1,1,0,100,0.195937592,2.9968211,7.84108457,14.76245,1,BCL2_BCL2L1.SLC16A4
HCC1143,MAP2K_1,PIM1,1,1,1,0,100,0.20094453,0.5529091,34.57631815,14.76144,1,MAP2K_1.PIM1
HCC1806,AKT,ATR_4,1,1,0.510324628,2.6348974,0,1,1.9911808,30.35743873,14.69232,1,AKT.ATR_4
HCC1569,BRAF_M2,MAP2K_3,0.3,3,0.3,0.3520697,38.10997515,0.015350054,0.4407441,65.1430893,14.6339,1,BRAF_M2.MAP2K_3
MDA-MB-157,EGFR,FGFR,1,0.1,0.030290617,1.7043017,36.60472872,0.1,10,93.00009454,14.61433,1,EGFR.FGFR
HCC1143,AKT_1,ALK_IGFR,1,1,1,10,90.80007786,1,0.7327306,45.0818772,14.53491,1,AKT_1.ALK_IGFR
NCI-H1563,Carboplatin,CSNK2A1_2,0.03,3,0.010260577,10,17.89817774,1.364309874,2.2744851,19.40747559,14.53352,1,Carboplatin.CSNK2A1_2
J82,CHEK1,IAP,3,1,0.006403589,0.7980897,28.68232004,0.324252565,10,47.59931921,14.52455,1,CHEK1.IAP
HCT-116,CHEK1,IAP,0.1,1,1,0,100,0.919199244,10,0,14.51519,-1,CHEK1.IAP
HCC1143,ADAM17,FGFR,1,75,1,0,100,0.0075,0.1,92.4045839,14.43257,1,ADAM17.FGFR
NCI-H1793,CSNK2A1_2,Gemcitabine,0.03,0.1,0.006393893,3.0411706,4.22506375,0.008149947,2.3743205,11.37902736,14.38863,-3,CSNK2A1_2.Gemcitabine
MDA-MB-415,ESR1_1,MTOR_1,1,3,0.058323638,1.1224283,16.79369956,3,0.1507423,48.43973087,14.36195,1,ESR1_1.MTOR_1
HCC1806,MAP2K_1,MTOR_1,1,1,0.192088501,1.5057747,0.52034485,0.244048967,1.0056963,0,14.34996,1,MAP2K_1.MTOR_1
MDA-MB-468,Chloroquine,PIK3C,3,10,3,10,12.00002717,1,0,100,14.34061,-1,Chloroquine.PIK3C
MDA-MB-231,BCL2_BCL2L1,EGFR,0.1,1,1,0,100,0.315943596,10,69.19965798,14.30364,1,BCL2_BCL2L1.EGFR
HT-1197,ATR_4,BCL2_BCL2L1,3,3,1,0,100,1.538227287,10,84.98116014,14.3023,-1,ATR_4.BCL2_BCL2L1
BT-20,MAP2K_1,SLC16A4,1,1,1,0.583705,73.61487793,1,0.4516731,4.97287542,14.30177,1,MAP2K_1.SLC16A4
HCC38,ALK_IGFR,PIK3CB_PIK3CD,1,1,0.350740372,10,72.29920981,0.999995942,9.9999996,37.40128181,14.24153,1,ALK_IGFR.PIK3CB_PIK3CD
MDA-MB-415,AKT,BCL2L1,3,3,3,0.4529411,49.52975836,0.001308283,0.4264885,6.68230761,14.21987,1,AKT.BCL2L1
MCF7,FGFR,MTOR_1,0.3,3,0.087848982,1.2621362,0,1.585734977,2.6416989,40.83989289,14.21441,1,FGFR.MTOR_1
MDA-MB-231,PIK3CB_PIK3CD,TNKS_PARP6,1,1,0.052049468,1.6357893,18.89624455,0.30000311,10,85.39983918,14.18614,1,PIK3CB_PIK3CD.TNKS_PARP6
MFM-223,AKT_1,BCL2_BCL2L1,1,1,0.445543834,1.8850749,49.70132704,0.310130493,0.7834606,0,14.16864,1,AKT_1.BCL2_BCL2L1
MDA-MB-231,ESR1,MTOR_1,1,1,0.439341073,1.1089629,21.0862109,1,0,100,14.12636,1,ESR1.MTOR_1
BT-20,BCL2_BCL2L1,FASN,1,1,0.633953198,0.7528231,32.47987797,1,0.8094733,49.83375186,14.10614,1,BCL2_BCL2L1.FASN
NCI-H23,IAP,Topotecan,0.1,1,0.1,0.6987867,23.1196123,0.065379618,0.1359719,0,14.10377,1,IAP.Topotecan
HCC1806,AKT_SGK,PIK3C,1,1,0.305449501,10,20.89943021,0.339595554,10,50.9989956,14.02318,1,AKT_SGK.PIK3C
MFM-223,AKT,PIP5K1,1,1,1,3.2654327,81.20601731,0.243228374,1.0679714,0,13.94876,1,AKT.PIP5K1
CAL-120,ESR1,MAP2K_1,1,1,1,0.6061888,63.86694469,0.028808052,10,94.66665694,13.94696,1,ESR1.MAP2K_1
BT-549,ALK_IGFR,PIK3CB_PIK3CD,1,1,0.302950601,0.7085204,0,0.346390987,10,62.99906697,13.93663,1,ALK_IGFR.PIK3CB_PIK3CD
NCI-H226,Carboplatin,CSNK2A1_2,0.1,3,0.005273748,2.2096203,0,2.534293497,1.1505369,0,13.92972,-2,Carboplatin.CSNK2A1_2
DU-4475,ADAM17,MAP2K_1,1,75,0.020731106,2.0999805,0,34.79576036,0.5542895,0,13.91472,1,ADAM17.MAP2K_1
NCI-H838,PIM1,TOP2_2,1,3,0.342099922,10,19.79818884,1,0,100,13.87297,-1,PIM1.TOP2_2
J82,Cisplatin,PARP1,3,3,0.219953369,1.8270294,84.24013087,0.5202958,1.1595941,0,13.76886,1,Cisplatin.PARP1
VM-CUB-1,PIK3C,PIM1,3,3,0.413955968,10,76.75180176,3,3.5171448,8.00394227,13.76449,-3,PIK3C.PIM1
J82,HSP90,MAP2K_1,3,3,0.097710046,0.6432942,62.51523894,0.12041144,2.2744397,21.13944415,13.75687,1,HSP90.MAP2K_1
NCI-H226,CHEK1,IAP,3,1,0.0004594,0.1,7.12544988,0.315490593,10,27.79928847,13.69409,1,CHEK1.IAP
MDA-MB-157,AKT_1,EGFR,0.1,1,1,0,100,0.096211735,0.8634354,70.43209822,13.6794,-3,AKT_1.EGFR
HCC1937,BCL2_BCL2L1,FASN,1,1,1,0,100,0.241393187,1.4494081,66.95111519,13.64902,1,BCL2_BCL2L1.FASN
647-V,ERBB,FGFR,3,0.1,1,0,100,0.071646393,1.4175385,72.73507185,13.62757,1,ERBB.FGFR
NCI-H2228,ALK,MTOR_1,3,3,0.115544689,0.7048602,5.93437051,0.033006869,0.8577131,0,13.62244,-2,ALK.MTOR_1
HCC1937,ADAM17,FGFR,1,75,0.038940144,0.1,94.04001436,75,0.3084867,89.76930453,13.61246,1,ADAM17.FGFR
MDA-MB-468,ADAM17,PIK3CB_PIK3CD,1,75,1.00E-04,0.1,94.07450183,1,0,100,13.55083,1,ADAM17.PIK3CB_PIK3CD
CAMA-1,AKT,Chloroquine,1,1,1,0,100,0.154730759,3.4646384,42.06744168,13.53424,1,AKT.Chloroquine
HCC1187,PARP1,PIK3CB_PIK3CD,1,3,0.279368324,3.6582482,72.03702234,3,0.9822203,13.54047681,13.51102,1,PARP1.PIK3CB_PIK3CD
HCC38,FGFR,SLC16A4,1,1,1,0,100,0.043513511,1.9836742,86.01040665,13.50662,1,FGFR.SLC16A4
COLO-205,MAP2K_1,PTK2,3,1,0.650528338,1.5496655,0,0.049317076,1.0309862,3.73444698,13.48129,1,MAP2K_1.PTK2
NCI-H1437,ATR_4,CarboTaxol,0.003,3,0.00129313,1.5064889,0,3,10,61.60028502,13.46476,1,ATR_4.CarboTaxol
NCI-H2291,IAP,Vinorelbine,1,3,0.022702836,1.8432404,44.53833428,3,0.9608419,58.92440518,13.45881,1,IAP.Vinorelbine
NCI-H1299,BCL2,CarboTaxol,0.01,3,0.003077622,10,25.99942463,3,0.7659624,80.09887501,13.44038,1,BCL2.CarboTaxol
HCC1937,PIK3CB_PIK3CD,PIP5K1,1,1,1,0.2796285,83.07890866,1,0.2996553,44.1797004,13.38637,-3,PIK3CB_PIK3CD.PIP5K1
T47D,AKT_1,PIK3C,3,3,0.189116509,0.8051243,10.96644946,0.047344021,1.0892206,29.52619172,13.37755,1,AKT_1.PIK3C
SW620,BCL2,Oxaliplatin,3,3,0.105605739,1.9847754,10.37154978,1,0,100,13.35156,-1,BCL2.Oxaliplatin
NCI-H2085,BCL2,Topotecan,1,3,0.127318913,0.9994686,29.0002997,1.307554321,1.2147287,0,13.32488,1,BCL2.Topotecan
HCC1187,ALK_IGFR,MTOR_1,1,1,0.2703595,10,11.89900183,0.122556253,2.1417496,50.85931322,13.26753,1,ALK_IGFR.MTOR_1
MDA-MB-157,AKT,TNKS_PARP6,1,1,0.015730975,2.2246454,15.50519469,0.155114541,3.7858126,87.44125501,13.26256,1,AKT.TNKS_PARP6
MDA-MB-436,PIK3CB_PIK3CD,SLC16A4,1,1,1,0,100,1,0.7829328,40.34089416,13.25013,1,PIK3CB_PIK3CD.SLC16A4
NCI-H2170,ADAM17,PIK3C,3,10,1.11847217,0.8606302,14.98395163,1,0,100,13.22047,1,ADAM17.PIK3C
MDA-MB-231,ADAM17,AKT,1,75,1,10,67.00001656,1,0,100,13.21102,1,ADAM17.AKT
MDA-MB-231,ADAM17,MTOR_1,1,75,0.402675902,0.937076,16.1590358,1,0,100,13.15388,1,ADAM17.MTOR_1
647-V,PARP1,PIK3C,3,3,1.109739253,2.3522228,50.67503282,3,1.2567329,71.41177383,13.11811,1,PARP1.PIK3C
MDA-MB-468,MAP2K_3,PIK3C,3,0.3,1.098696769,1.6270274,33.38105441,0.072740812,0.7006548,0,13.03987,1,MAP2K_3.PIK3C
SW780,HSP90,PARP1,3,0.3,1,0,100,0.133412246,10,47.18402706,13.03962,1,HSP90.PARP1
CAMA-1,AKT,AKT_1,1,1,0.204065844,1.4750579,47.97346672,0.18219236,2.529306,33.50489924,13.01508,1,AKT.AKT_1
CAL-51,FASN,MTOR_1,1,1,0.315653071,1.3702596,15.39533351,1,0,100,12.98182,1,FASN.MTOR_1
647-V,AKT,Cisplatin,3,3,1.185152395,2.6478915,0,0.439128028,1.3582447,2.02497431,12.96846,1,AKT.Cisplatin
CAMA-1,BCL2_BCL2L1,MAP2K_1,1,1,1,1.7409803,83.40287163,1,0.6424804,81.22544558,12.95588,1,BCL2_BCL2L1.MAP2K_1
NCI-H520,IAP,PIK3CA_3,3,3,0.952379265,10,83.69978359,1,0,100,12.91735,1,IAP.PIK3CA_3
BT-20,AKT,PIK3CA_4,1,1,0.208946057,1.2631686,58.79597362,0.190101078,3.2412186,78.74518968,12.91164,1,AKT.PIK3CA_4
HCC70,AKT_1,ALK_IGFR,1,1,1.00E-04,0.1,84.31869017,0.215545202,1.1336381,15.15758185,12.89628,1,AKT_1.ALK_IGFR
HCC1806,AKT_SGK,FGFR,1,1,1,0,100,0.353839239,10,49.69845089,12.89611,1,AKT_SGK.FGFR
NCI-H1703,IAP,PIK3CA_3,3,0.01,1.151281772,0.7950253,0,0.000528646,2.0501817,19.98044475,12.89416,1,IAP.PIK3CA_3
DU-4475,MAP2K_1,PIM1,1,1,0.055957145,1.910887,0,0.026683405,2.427816,0,12.87147,1,MAP2K_1.PIM1
NCI-H226,BCL2,CarboTaxol,0.01,3,0.001526695,2.7040554,20.46047558,3,0.5528723,11.01689735,12.85776,1,BCL2.CarboTaxol
